time,open,high,low,close,"US05Y, TVC: Open","US05Y, TVC: High","US05Y, TVC: Low","US05Y, TVC: Close","US10Y, TVC: Open","US10Y, TVC: High","US10Y, TVC: Low","US10Y, TVC: Close","US30Y, TVC: Open","US30Y, TVC: High","US30Y, TVC: Low","US30Y, TVC: Close",Volume,Volume MA,SMA1,SMA2,SMA3,SMA4
1499693400,104.94,105.94,104.24,105.73,1.9504,1.9563,1.8162,1.871,2.3892,2.3963,2.275,2.3382,2.9297,2.9459,2.8643,2.9214,NaN,NaN,104.70700000000008,100.90259999999996,94.91840000000002,92.14929999999991
1500298200,105.68,106.21,105.14,105.85,1.8694,1.8761,1.7906,1.8097,2.3337,2.3373,2.2238,2.2429,2.9242,2.9242,2.7952,2.8125,NaN,NaN,104.93500000000009,101.10519999999997,95.10490000000001,92.2773999999999
1500903000,105.76,106.61,105.6199,106.2,1.7981,1.8983,1.7906,1.8372,2.234,2.3416,2.2251,2.2898,2.8041,2.9441,2.7999,2.8957,NaN,NaN,105.25500000000008,101.31099999999996,95.29230000000003,92.4143499999999
1501507800,106.41,106.81,106.29,106.66,1.8356,1.8585,1.7647,1.8189,2.2924,2.3219,2.2145,2.2682,2.8968,2.9311,2.7896,2.8397,NaN,NaN,105.5230000000001,101.51939999999996,95.51350000000002,92.5541499999999
1502112600,106.65,107.1653,104.73,104.86,1.8189,1.8436,1.7314,1.7478,2.2655,2.2909,2.1814,2.1967,2.842,2.8749,2.771,2.7921,NaN,NaN,105.55700000000009,101.70519999999996,95.70130000000003,92.68009999999991
1502717400,105.48,106.12,103.77,103.97,1.7461,1.8376,1.7242,1.7622,2.194,2.286,2.1612,2.1983,2.7878,2.8706,2.7531,2.7793,NaN,NaN,105.40200000000009,101.85899999999998,95.88490000000002,92.79314999999991
1503322200,103.96,105.11,103.71,104.75,1.777,1.7943,1.7339,1.7618,2.1957,2.2241,2.159,2.1737,2.777,2.7935,2.7421,2.7473,NaN,NaN,105.29900000000009,102.06699999999996,96.08900000000001,92.90729999999992
1503927000,104.95,105.7869,103.87,105.53,1.7567,1.7725,1.6634,1.7466,2.1676,2.1807,2.0837,2.1736,2.7492,2.7818,2.6853,2.7793,NaN,NaN,105.35600000000008,102.29759999999996,96.29250000000002,93.02504999999992
1504618200,105.23,105.29,104.2,104.67,1.7252,1.7268,1.5938,1.6365,2.1517,2.1609,2.0129,2.0498,2.7634,2.771,2.6331,2.6689,NaN,NaN,105.32700000000008,102.48739999999997,96.45470000000002,93.1346999999999
1505136600,105.29,107.03,105.29,107.01,1.6348,1.8139,1.6315,1.8122,2.0524,2.2265,2.0506,2.2084,2.6707,2.8095,2.6692,2.7739,NaN,NaN,105.5230000000001,102.72839999999997,96.63350000000003,93.25059999999989
1505741400,107.11,107.83,107.11,107.66,1.8073,1.8945,1.8031,1.8715,2.2067,2.2893,2.1979,2.257,2.7696,2.8362,2.7681,2.7832,NaN,NaN,105.7160000000001,102.99019999999997,96.80540000000002,93.36704999999989
1506346200,107.64,108.16,107.14,107.91,1.8733,1.9542,1.8255,1.9376,2.2561,2.3581,2.2074,2.3327,2.7828,2.9009,2.7503,2.8589,NaN,NaN,105.92200000000011,103.27639999999995,96.98220000000003,93.48634999999989
1506951000,108.09,109.5862,107.83,109.17,1.9443,2.0035,1.889,1.9628,2.3452,2.4012,2.2966,2.367,2.8649,2.9356,2.8397,2.9,NaN,NaN,106.21900000000012,103.58459999999995,97.15990000000004,93.61299999999989
1507555800,109.28,109.34,108.63,108.85,1.9677,1.9719,1.8923,1.9065,2.3607,2.3733,2.2703,2.281,2.9,2.909,2.8035,2.8121,NaN,NaN,106.4380000000001,103.89219999999996,97.36560000000003,93.74454999999988
1508160600,108.94,110.12,108.67,110.02,1.9181,2.0278,1.9065,2.0269,2.2927,2.3917,2.2739,2.3872,2.8203,2.9126,2.7992,2.8965,NaN,NaN,106.95400000000011,104.25059999999996,97.55760000000004,93.87244999999989
1508765400,110.19,110.3042,108.94,109.6,2.0253,2.0926,1.9935,2.0314,2.3917,2.4793,2.3592,2.4101,2.8985,2.9797,2.8719,2.9179,NaN,NaN,107.5170000000001,104.50399999999996,97.74420000000003,93.99449999999987
1509370200,109.27,109.87,108.87,109.5,2.0264,2.038,1.9677,1.995,2.4092,2.4156,2.3158,2.3343,2.9203,2.929,2.8063,2.8137,NaN,NaN,107.9920000000001,104.73519999999996,97.93030000000005,94.11794999999988
1509978600,109.37,109.72,108.35,108.93,2.0033,2.0598,1.972,2.0182,2.3469,2.4064,2.297,2.378,2.7681,2.8906,2.7634,2.8761,NaN,NaN,108.33200000000011,104.92359999999996,98.14710000000005,94.23679999999987
1510583400,108.54,109.39,107.87,109.02,2.0565,2.0924,2.0141,2.0567,2.3993,2.4149,2.3142,2.3444,2.8825,2.8833,2.7573,2.7785,NaN,NaN,108.7670000000001,105.11259999999999,98.36590000000005,94.35794999999987
1511188200,109.14,109.8399,108.96,109.63,2.0483,2.1162,2.0333,2.0652,2.3391,2.3764,2.3161,2.3414,2.77,2.8014,2.7358,2.7652,NaN,NaN,109.02900000000011,105.24799999999999,98.56710000000004,94.49429999999988
